"weekly","segment","name","exchange","expiry","instrument_type","asset_symbol","underlying_symbol","instrument_key","lot_size","freeze_quantity","exchange_token","minimum_lot","asset_key","underlying_key","tick_size","asset_type","underlying_type","trading_symbol","strike_price","qty_multiplier"
false,"NSE_FO","NIFTY","NSE",1908642599000,"PE","NIFTY","NIFTY","NSE_FO|60911",75,1800.0,"60911",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 27000 PE 25 JUN 30",27000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"PE","NIFTY","NIFTY","NSE_FO|60909",75,1800.0,"60909",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 26000 PE 25 JUN 30",26000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"PE","NIFTY","NIFTY","NSE_FO|60907",75,1800.0,"60907",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 25000 PE 25 JUN 30",25000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"CE","NIFTY","NIFTY","NSE_FO|60908",75,1800.0,"60908",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 26000 CE 25 JUN 30",26000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"PE","NIFTY","NIFTY","NSE_FO|60905",75,1800.0,"60905",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 24000 PE 25 JUN 30",24000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"CE","NIFTY","NIFTY","NSE_FO|60906",75,1800.0,"60906",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 25000 CE 25 JUN 30",25000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"PE","NIFTY","NIFTY","NSE_FO|60903",75,1800.0,"60903",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 23000 PE 25 JUN 30",23000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"CE","NIFTY","NIFTY","NSE_FO|60904",75,1800.0,"60904",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 24000 CE 25 JUN 30",24000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"PE","NIFTY","NIFTY","NSE_FO|60901",75,1800.0,"60901",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 22000 PE 25 JUN 30",22000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"CE","NIFTY","NIFTY","NSE_FO|60902",75,1800.0,"60902",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 23000 CE 25 JUN 30",23000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"CE","NIFTY","NIFTY","NSE_FO|60900",75,1800.0,"60900",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 22000 CE 25 JUN 30",22000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"PE","NIFTY","NIFTY","NSE_FO|60899",75,1800.0,"60899",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 21000 PE 25 JUN 30",21000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"PE","NIFTY","NIFTY","NSE_FO|60897",75,1800.0,"60897",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 20000 PE 25 JUN 30",20000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"CE","NIFTY","NIFTY","NSE_FO|60898",75,1800.0,"60898",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 21000 CE 25 JUN 30",21000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"PE","NIFTY","NIFTY","NSE_FO|60895",75,1800.0,"60895",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 19000 PE 25 JUN 30",19000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"CE","NIFTY","NIFTY","NSE_FO|60896",75,1800.0,"60896",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 20000 CE 25 JUN 30",20000.0,1.0
false,"NSE_FO","NIFTY","NSE",1908642599000,"CE","NIFTY","NIFTY","NSE_FO|60894",75,1800.0,"60894",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 19000 CE 25 JUN 30",19000.0,1.0
false,"NSE_FO","NIFTY","NSE",1767119399000,"CE","NIFTY","NIFTY","NSE_FO|55121",75,1800.0,"55121",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 18000 CE 30 DEC 25",18000.0,1.0
false,"NSE_FO","NIFTY","NSE",1767119399000,"PE","NIFTY","NIFTY","NSE_FO|55122",75,1800.0,"55122",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 18000 PE 30 DEC 25",18000.0,1.0
false,"NSE_FO","NIFTY","NSE",1877192999000,"PE","NIFTY","NIFTY","NSE_FO|89641",75,1800.0,"89641",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 29000 PE 26 JUN 29",29000.0,1.0
false,"NSE_FO","NIFTY","NSE",1877192999000,"CE","NIFTY","NIFTY","NSE_FO|89642",75,1800.0,"89642",75,"NSE_INDEX|Nifty 50","NSE_INDEX|Nifty 50",5.0,"INDEX","INDEX","NIFTY 30000 CE 26 JUN 29",30000.0,1.0
